Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
Female,17,Right-Handed,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,17,Right-Handed,169,23,69,2,Car,6,0.328,35,Other,1000,567,930,770,278,620,23,Same length,7,1.5,Ring finger,September,Summer,Yes,Yes,Vegetables,Water,History,7,9,5,Yes - broadband connection,In person,20,40,8,0.25,6,8,13,2,6,6,4,4,0,2,A lot,Graduate degree,Reggae,Telepathy,Rich,Relative,"Wildlife, animals"
Female,17,Right-Handed,154,21.5,157,2,Car,5,0.463,38,Dancing,765,738,829,830,840,900,23,Left foot,70,75,Ring finger,January,Summer,No,No,Pizza/Pasta,Tea,History,7,8,5,Yes - broadband connection,Text messaging,2,3,2,0.5,4,2,9,0,4,0.5,6,3,0,1,Very little,Undergraduate degree,Country,Telepathy,Rich,Relative,"Wildlife, animals"
Female,16,Right-Handed,171,23,157,2,Car,8,0.304,36,Walking/Hiking,1000,1000,1000,1000,1000,1000,23,Same length,90,100,Ring finger,December,Winter,Yes,No,Rice/Noodle dishes,Water,Other,7,9,4,Yes - other,Text messaging,150,150,10,15,8,20,5,4,9,2,8,5,0,1,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,Environment
Female,16,Right-Handed,167,23,69,2,Car,7,0.477,55,Lacrosse,540,412,139,182,308,1000,23,Same length,6.5,5.5,Index finger,December,Winter,Yes,No,Seafood,Water,Other,6,9,4,Yes - other,Text messaging,20,30,30,21,20,12,6,0,12,8,20,0,15,3,A lot,Graduate degree,Rap/Hip hop,Telepathy,Famous,Other,Education/Youth development
Female,17,Right-Handed,163,23,161.5,1,Car,10,0.353,45,Swimming,904,610,626,882,690,930,23,Same length,95,80,Ring finger,May,Spring,No,No,Seafood,Water,History,7,9,3,Yes - other,Text messaging,150,20,4,1,8,5,6,2,10,5,10,7,0,4,A lot,Graduate degree,Rhythm and blues (R&B),Telepathy,Rich,Business person,International aid
Female,16,Right-Handed,162,23,158,1,Car,5,0.287,37,Other,818,695,797,481,332,428,23,Same length,90,80,Index finger,January,Spring,No,No,Seafood,Water,Art,9,7,3,Yes - broadband connection,Text messaging,150,145,8,5,4,8,4,2,4,6,3,2,0,1,Some,Graduate degree,Pop,Telepathy,Rich,Musician or singer,Health
Female,15,Right-Handed,166,125,164,3,Car,10,0.38,31,Skateboarding/Rollerblading,950,650,700,750,550,600,124.5,Right foot,90,100,Ring finger,November,Spring,Yes,No,Pizza/Pasta,Water,Social studies,5,9,2,Yes - broadband connection,Text messaging,50,50,14,7,20,7,20,2,7,10,20,2,3,7,A lot,Undergraduate degree,Pop,Fly,Happy,Actor,Environment
Female,15,Right-Handed,172.5,25.5,157,1,Car,5,0.326,52,Hockey (Ice),834,674,749,369,214,620,25.5,Same length,65,75,Ring finger,November,Fall,No,No,Poultry,Water,Other,6,8,4,Yes - broadband connection,Text messaging,30,30,10,2,4,6,10,0,4,5,5,2,0,3,A lot,Graduate degree,Pop,Freeze time,Rich,Religious figure,Environment
Female,16,Right-Handed,61.3,8,63,1,Car,15,0.306,37,Tennis,754,684,743,540,433,668,8,Same length,90,85,Index finger,January,Winter,No,No,Rice/Noodle dishes,Water,Art,6,10,4,Yes - broadband connection,Text messaging,5,10,2,0,5,1,2,3,4,2,8,0,0,2,Some,Other,Pop,Freeze time,Happy,Other,Health
